timestamp,track_id,age,emotion,confidence
2026-03-11T01:27:50.682094,1,28,sad,85.66
2026-03-11T01:27:51.015432,1,28,sad,85.66
2026-03-11T01:27:52.015692,1,31,neutral,79.64
2026-03-11T01:27:53.014696,1,28,sad,88.64
2026-03-11T01:27:54.018566,1,29,sad,99.05
2026-03-11T01:27:55.003947,1,29,sad,98.63
2026-03-11T01:27:56.019165,1,29,sad,98.43
2026-03-11T01:27:57.011798,1,30,sad,96.98
2026-03-11T01:27:58.018402,1,28,sad,99.3
2026-03-11T01:27:59.011399,1,29,sad,87.58
2026-03-11T01:28:00.008666,1,30,sad,98.21
2026-03-11T01:28:01.026675,1,30,sad,97.23
2026-03-11T01:28:02.018771,1,29,sad,91.32
2026-03-11T01:28:03.017839,1,30,sad,95.06
2026-03-11T01:28:04.016073,1,30,sad,92.53
2026-03-11T01:28:05.011476,1,31,sad,93.57
2026-03-11T01:28:06.018530,1,31,sad,91.19
2026-03-11T01:28:07.001750,1,30,sad,98.72
2026-03-11T01:28:08.017500,1,30,sad,96.33
2026-03-11T01:28:09.011808,1,31,sad,94.26
2026-03-11T01:28:10.021031,1,30,sad,94.47
2026-03-11T01:28:11.011261,1,30,sad,93.04
